,spot-0,pe-premium-0,ce-premium-0,pe-profit-0,ce-profit-0,spot-1,pe-premium-1,ce-premium-1,pe-profit-1,ce-profit-1,spot-2,pe-premium-2,ce-premium-2,pe-profit-2,ce-profit-2
0,37795.9,559.05,366.20,0.0,0.0,37795.9,559.05,366.20,0.0,0.0,37795.9,501.45,411.90,0,0
1,37778.65,557.55,350.90,0.0,0.0,37778.65,557.55,350.90,0.0,0.0,37778.65,501.75,396.80,0,0
2,37827.4,539.95,377.75,0.0,0.0,37827.4,539.95,377.75,0.0,0.0,37827.4,486.10,425.50,0,0
3,37815.35,542.80,376.40,0.0,0.0,37815.35,542.80,376.40,0.0,0.0,37815.35,488.70,423.65,0,0
4,37810.25,547.70,372.75,0.0,0.0,37810.25,547.70,372.75,0.0,0.0,37810.25,491.70,418.80,0,0
5,37879.55,511.45,400.60,0.0,0.0,37879.55,511.45,400.60,0.0,0.0,37879.55,457.75,448.20,0,0
6,37918.85,491.10,416.45,0.0,0.0,37918.85,491.10,416.45,0.0,0.0,37918.85,440.30,464.20,0,0
7,37866.9,513.00,393.10,0.0,0.0,37866.9,513.00,393.10,0.0,0.0,37866.9,458.55,439.70,0,0
8,37913.8,493.10,423.85,0.0,0.0,37913.8,493.10,423.85,0.0,0.0,37913.8,442.00,471.80,0,0
9,37939.7,474.55,433.60,0.0,0.0,37939.7,474.55,433.60,0.0,0.0,37939.7,419.30,483.50,0,0
10,37931.5,475.80,424.80,0.0,0.0,37931.5,475.80,424.80,0.0,0.0,37931.5,424.20,473.15,0,0
11,37940.65,472.05,428.50,0.0,0.0,37940.65,472.05,428.50,0.0,0.0,37940.65,421.35,476.95,0,0
12,37982.6,456.70,442.00,0.0,0.0,37982.6,456.70,442.00,0.0,0.0,37982.6,406.95,491.85,0,0
13,37977.2,456.80,435.30,0.0,0.0,37977.2,456.80,435.30,0.0,0.0,37977.2,406.75,485.90,0,0
14,37980.35,450.95,432.00,0.0,0.0,37980.35,450.95,432.00,0.0,0.0,37980.35,401.75,482.80,0,0
15,38036.85,422.95,467.00,0.0,0.0,38036.85,422.95,467.00,0.0,0.0,38036.85,377.45,520.00,0,0
16,38035.65,428.70,468.70,0.0,0.0,38035.65,428.70,468.70,0.0,0.0,38035.65,381.00,521.55,0,0
17,38041.4,424.85,469.75,0.0,0.0,38041.4,424.85,469.75,0.0,0.0,38041.4,378.60,523.90,0,0
18,38038.7,421.80,477.45,0.0,0.0,38038.7,421.80,477.45,0.0,0.0,38038.7,374.75,531.90,0,0
19,38079.9,408.45,496.25,0.0,0.0,38079.9,408.45,496.25,0.0,0.0,38079.9,363.90,552.00,0,0
20,38007.25,435.75,452.70,0.0,0.0,38007.25,435.75,452.70,0.0,0.0,38007.25,388.80,506.85,0,0
21,38000.15,438.60,455.55,0.0,0.0,38000.15,438.60,455.55,0.0,0.0,38000.15,390.95,508.15,0,0
22,38023.25,424.30,469.70,0.0,0.0,38023.25,424.30,469.70,0.0,0.0,38023.25,377.50,524.40,0,0
23,38014.15,432.45,460.45,0.0,0.0,38014.15,432.45,460.45,0.0,0.0,38014.15,385.05,513.60,0,0
24,37976.1,454.15,438.05,0.0,0.0,37976.1,454.15,438.05,0.0,0.0,37976.1,404.85,489.10,0,0
25,37972.85,458.60,442.15,0.0,0.0,37972.85,458.60,442.15,0.0,0.0,37972.85,408.50,493.30,0,0
26,37985.8,446.70,453.75,11.9,-11.6,37985.8,446.70,453.75,0.0,0.0,37985.8,397.60,504.85,0,0
27,37973.65,448.10,448.00,10.5,-5.85,37973.65,448.10,448.00,0.0,0.0,37973.65,400.10,500.00,0,0
28,38011.0,426.65,460.00,31.95,-17.85,38011.0,426.65,460.00,0.0,0.0,38011.0,379.45,515.35,0,0
29,37986.9,439.50,452.50,19.1,-10.35,37986.9,439.50,452.50,0.0,0.0,37986.9,391.35,503.15,0,0
