Symbol,Sector,Count
NESTLEIND,FMCG,2
DABUR,FMCG,65
HNDFDS,FMCG,19
TATACONSUM,FMCG,47
HINDUNILVR,FMCG,18
MARICO,FMCG,70
VBL,FMCG,39
HDFC,Finance,22
BAJFINANCE,Finance,7
MUTHOOTFIN,Finance,37
SUNPHARMA,Pharmaceuticals,49
CIPLA,Pharmaceuticals,41
SUVENPHAR,Pharmaceuticals,84
ABBOTINDIA,Pharmaceuticals,3
AMRUTANJAN,Pharmaceuticals,52
DRREDDY,Pharmaceuticals,11
DIVISLAB,Pharmaceuticals,10
GLAND,Pharmaceuticals,13
LALPATHLAB,Healthcare,19
METROPOLIS,Healthcare,26
DEEPAKNTR,Chemicals,16
LXCHEM,Chemicals,132
ALKYLAMINE,Chemicals,13
NAVINFLUOR,Chemicals,14
AARTIIND,Chemicals,64
FINEORG,Chemicals,14
SRF,Chemicals,23
BALKRISIND,Tyres,0
ULTRACEMCO,Cement,2
JKCEMENT,Cement,5
MASTEK,IT Services,11
MINDTREE,IT Services,16
INFY,IT Services,54
TCS,IT Services,27
HCLTECH,IT Services,73
LTI,IT Services,11
SONATSOFTW,IT Services,85
TATAELXSI,IT Services,9
RELAXO,Footwear,43
PRINCEPIPE,Building Products,75
ASTRAL,Building Products,26
ACRYSIL,Consumer Durables,70
UPL,Agro Chemicals,42
PIIND,Agro Chemicals,12
SUMICHEM,Agro Chemicals,78
BHARATRAS,Agro Chemicals,2
Reliance,Refineries,0
KOTAKBANK,Private Banks,24
HDFCBANK,Private Banks,29
ICICIBANK,Private Banks,60
ASIANPAINT,Paint,25
BERGEPAINT,Paint,109
CAMS,CAMS,0
